[ 2025-10-08 14:04:29,940] 20 root - INFO - Initiate the data ingestion
[ 2025-10-08 14:04:32,061] 71 root - INFO - Performed train test split on the dataframe
[ 2025-10-08 14:04:32,061] 73 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-08 14:04:32,061] 81 root - INFO - Exporting train and test file path.
[ 2025-10-08 14:04:32,122] 90 root - INFO - Exported train and test file path.
[ 2025-10-08 14:04:32,122] 22 root - INFO - Data initiation completed
[ 2025-10-08 14:04:32,150] 26 root - INFO - Initiate the data validation
[ 2025-10-08 14:04:32,253] 38 root - INFO - Required number of columns:2
[ 2025-10-08 14:04:32,253] 39 root - INFO - Data frame has columns:31
[ 2025-10-08 14:04:32,254] 38 root - INFO - Required number of columns:2
[ 2025-10-08 14:04:32,254] 39 root - INFO - Data frame has columns:31
[ 2025-10-08 14:04:32,396] 28 root - INFO - data Validation Completed
[ 2025-10-08 14:04:32,396] 31 root - INFO - data Transformation started
[ 2025-10-08 14:04:32,396] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-10-08 14:04:32,396] 65 root - INFO - Starting data transformation
[ 2025-10-08 14:04:32,420] 49 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-10-08 14:04:32,420] 54 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-10-08 14:04:32,436] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-10-08 14:04:32,442] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-10-08 14:04:32,443] 35 root - INFO - data Transformation completed
[ 2025-10-08 14:04:32,444] 37 root - INFO - Model Training stared
